No,区間名,北緯,東経,所在地,Link,路線名
37,和田塚―極楽寺,35.3136111,139.5452777,神奈川県鎌倉市,https://tetsudo-ch.com/14268.html,江ノ島電鉄
38,早川―根府川,35.2386111,139.145,神奈川県小田原市,https://note.com/mizusour/n/n0bae2093951b,東海道本線
39,塔ノ沢―宮ノ下,35.2344444,139.0938888,神奈川県箱根町,https://www.mapple.net/article/26882/,箱根登山鉄道
40,片瀬白田―今井浜海岸,34.8019444,139.0611111,静岡県東伊豆町,https://railway-journey.com/izukyu-line/#i-17,伊豆急行
41,三つ峠―下吉田,35.5241666,138.8455555,山梨県西桂町,https://www.fujikyu-railway.jp/sightseeing/gallery01.php,富士急行
42,勝沼ぶどう郷―塩山,35.6727777,138.7430555,山梨県甲州市,https://ganref.jp/m/lunajune/reviews_and_diaries/diary/27826,中央本線
43,韮崎―富士見,35.7094444,138.4513888,山梨県韮崎市,http://shanehsmt.html.xdomain.jp/Train/Japan/JR0/ChuouTou.html#Shiojiri,中央本線
44,芝浦ふ頭―お台場海浜公園,35.6422222,139.7577777,東京都港区,http://pkappa.seesaa.net/article/404999712.html,ゆりかもめ
45,信濃追分―平原,36.3355555,138.5586111,長野県軽井沢町,https://www.shinanorailway.co.jp/,しなの鉄道
46,清里―信濃川上,35.9191666,138.4363888,山梨県北杜市,https://railway-journey.com/koumi-line/,小海線
47,上条―湯田中,36.7494444,138.4075,長野県山ノ内町,https://www.nagaden-net.co.jp/,長野電鉄
48,冠着―姨捨,36.4572222,138.0791666,長野県筑北村,http://zekkeieki.com/?p=363,篠ノ井線
49,稲尾―南神城,36.5538888,137.8425,長野県大町市,http://zekkeieki.com/?p=557,大糸線
50,宇奈月―欅平,36.815,137.5855555,富山県黒部市,https://www.kurotetu.co.jp/spot_jyousya/,黒部峡谷鉄道
51,中伏木―庄川口,36.7877777,137.0613888,富山県射水市,http://shanehsmt.html.xdomain.jp/Train/Japan/Shitetsu_1/ManyoSen.html,万葉線
52,越中国分―雨晴,36.8052777,137.0505555,富山県高岡市,http://www.rail-travel.net/archives/2637,氷見線
53,比島―小舟渡,36.0658333,136.4841666,福井県勝山市,http://shanehsmt.html.xdomain.jp/Train/Japan/Shitetsu_1/Echizen.html,えちぜん鉄道 
54,三島―富士川橋梁,35.1263888,138.9094444,静岡県三島市,http://asuzuki.la.coocan.jp/yama/yama2/tokai-index.htm,東海道新幹線
