No,名称,北緯,東経,所在地,Link
90,平戸城,33.3683333,129.5575,長崎県平戸市,https://www.100finecastles.com/castles/hiradojo/
91,島原城,32.7891666,130.3672222,長崎県島原市,https://www.100finecastles.com/castles/shimabarajo/
92,熊本城,32.8061111,130.7058333,熊本県熊本市,https://www.100finecastles.com/castles/kumamotojo/
93,人吉城,32.2111111,130.7663888,熊本県人吉市,https://www.100finecastles.com/castles/hitoyoshijo/
94,大分府内城,33.2405555,131.6113888,大分県大分市,https://www.100finecastles.com/castles/oitafunaijo/
95,岡城,32.9691666,131.4077777,大分県竹田市,https://www.100finecastles.com/castles/okajo/
96,飫肥城,31.6288888,131.35,宮崎県日南市,https://www.100finecastles.com/castles/obijo/
97,鹿児島城(黎明館),31.5986111,130.5547222,鹿児島県鹿児島市,https://www.100finecastles.com/castles/kagoshimajo/
98,今帰仁城,26.6911111,127.9297222,沖縄県今帰仁村,https://www.100finecastles.com/castles/nakijingusuku/
99,中城城,26.2838888,127.8011111,沖縄県中城村,https://www.100finecastles.com/castles/nakagusukujo/
100,首里城,26.2169444,127.7194444,沖縄県那覇市,https://www.100finecastles.com/castles/shurijo/
