No,名称,北緯,東経,所在地,Link
76,七川ダム湖畔,33.5936111,135.6975,和歌山県古座川町,https://www.nippon.com/ja/guide-to-japan/sakura00130032/
77,久松公園,35.5072222,134.2372222,鳥取県鳥取市,https://www.tottori-guide.jp/sp/1071/1086/14154.html
78,打吹公園,35.4297222,133.8236111,鳥取県倉吉市,https://parkful.net/2017/03/sakura-utsubuki-park/
79,松江城山公園,35.475,133.0502777,島根県松江市,https://parkful.net/2017/03/sakura-matsuejozan/
80,斐伊川堤防桜並木,35.3005555,132.8983333,島根県雲南市,https://www.kankou-shimane.com/destination/20352
81,鶴山公園,35.0622222,134.0052777,岡山県津山市,https://www.okayama-kanko.jp/spot/10439
82,千光寺公園,34.4125,133.195,広島県尾道市,https://parkful.net/2017/03/sakura-senkoji-park/
83,上野公園,34.8577777,133.0230555,広島県庄原市,https://www.hiroshima-kankou.com/spot/4221
84,吉香公園・錦帯橋,34.1708333,132.1775,山口県岩国市,https://parkful.net/2017/03/sakura-kikkou/
85,常盤公園,33.9530555,131.2855555,山口県宇部市,https://parkful.net/2017/03/sakura-tokiwa/
86,西部公園,34.0680555,134.5144444,徳島県徳島市,https://www.awanavi.jp/spot/20526.html
87,琴弾公園,34.1336111,133.6433333,香川県観音寺市,http://kanonji-kankou.jp/visit/07/002.html
88,城山公園,33.8444444,132.7661111,愛媛県松山市,https://www.nippon.com/ja/guide-to-japan/sakura00138013/
89,鏡野公園,33.6186111,133.7191666,高知県香美市,https://www.city.kami.lg.jp/map/kagaminopark.html
90,牧野公園,33.4975,133.2886111,高知県佐川町,https://www.nippon.com/ja/guide-to-japan/sakura00139011/
91,西公園,33.5980555,130.3741666,福岡県福岡市,https://fukuoka-touch.net/nishikouen-hanami
92,小城公園,33.2897222,130.1961111,佐賀県小城市,https://www.ogi-kankou.com/ogi-park.html
93,大村公園,32.8972222,129.9566666,長崎県大村市,https://parkful.net/2017/03/sakura-oomura/
94,熊本城,32.8058333,130.7058333,熊本県熊本市,https://parkful.net/2017/03/sakura-kumamotojo/
95,市房ダム湖畔,32.3219444,131.0216666,熊本県水上村,https://kumamoto.guide/spots/detail/11181
96,水俣市チェリーライン,32.2291666,130.4002777,熊本県水俣市,https://kumamoto.guide/spots/detail/10235
97,岡城公園,32.9691666,131.4077777,大分県竹田市,https://okajou.com/archives/5157/
98,母智丘関之尾公園,31.7497222,131.0030555,宮崎県都城市,https://www.pmiyazaki.com/etc/mochio/
99,忠元公園,32.0513888,130.6147222,鹿児島県伊佐市,https://parkful.net/2017/03/sakura-tatdamoto/
100,名護城公園,26.5886111,127.9933333,沖縄県名護市,https://www.nippon.com/ja/guide-to-japan/sakura00147001/
